CRN,GRADE,IMPACT_POINT,RDWY_ALIGNMENT,UNIT_NUM,VEH_MOVEMENT,VEH_POSITION,VEH_ROLE,VEH_TYPE,PC_HDLGHT_IND,PC_HLMT_IND,PC_REAR_RFLTR_IND
2002054038,9.0,99.0,9.0,2,99.0,99.0,2.0,20.0,U,U,U
2002218696,9.0,2.0,1.0,2,1.0,98.0,1.0,20.0,U,U,U
2002202762,9.0,9.0,1.0,1,1.0,98.0,2.0,20.0,U,U,U
2003046263,3.0,4.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002226945,9.0,12.0,9.0,1,99.0,1.0,1.0,20.0,U,U,U
2003021107,1.0,6.0,1.0,2,2.0,2.0,2.0,20.0,U,U,U
2002235144,9.0,1.0,1.0,1,1.0,1.0,1.0,20.0,U,U,U
2003012265,1.0,5.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2005110882,3.0,1.0,1.0,2,1.0,9.0,2.0,21.0,U,U,U
2003042920,1.0,99.0,1.0,2,1.0,99.0,1.0,20.0,U,U,U
2003044901,1.0,3.0,1.0,1,1.0,1.0,3.0,20.0,U,U,U
2002225015,9.0,12.0,1.0,1,1.0,99.0,1.0,21.0,U,U,U
2003021249,3.0,1.0,1.0,1,12.0,12.0,1.0,20.0,U,U,U
2003028697,1.0,12.0,1.0,1,1.0,98.0,1.0,20.0,U,U,U
2003047808,1.0,2.0,1.0,2,1.0,0.0,2.0,20.0,U,U,U
2003056425,3.0,10.0,1.0,2,98.0,98.0,1.0,20.0,U,U,U
2002230974,9.0,12.0,1.0,1,1.0,0.0,1.0,20.0,U,U,U
2002216487,9.0,12.0,1.0,1,1.0,1.0,1.0,20.0,U,U,U
2002226156,9.0,12.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003035328,1.0,99.0,1.0,2,99.0,98.0,2.0,20.0,U,U,U
2002218517,9.0,9.0,1.0,1,1.0,1.0,2.0,20.0,U,U,U
2005119129,1.0,4.0,1.0,1,1.0,1.0,1.0,20.0,U,Y,U
2005177180,9.0,99.0,9.0,2,99.0,99.0,2.0,20.0,U,U,U
2002226418,9.0,12.0,1.0,1,1.0,1.0,2.0,20.0,U,U,U
2003066048,1.0,12.0,1.0,2,12.0,98.0,2.0,20.0,U,U,U
2003056499,9.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2002222801,9.0,12.0,1.0,1,1.0,7.0,1.0,20.0,U,U,U
2002222387,9.0,99.0,1.0,2,1.0,1.0,1.0,20.0,U,U,U
2002219491,9.0,6.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003042338,5.0,12.0,1.0,2,1.0,9.0,1.0,20.0,U,U,U
2002226903,9.0,6.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002220904,9.0,12.0,1.0,1,1.0,8.0,2.0,20.0,U,U,U
2002216144,9.0,12.0,9.0,2,99.0,9.0,1.0,20.0,U,U,U
2002234252,9.0,9.0,9.0,2,99.0,8.0,2.0,20.0,U,U,U
2003058291,1.0,12.0,1.0,2,1.0,11.0,2.0,20.0,U,U,U
2002206513,9.0,12.0,9.0,1,99.0,9.0,1.0,20.0,U,U,U
2002211925,9.0,6.0,1.0,2,1.0,9.0,2,20.0,U,U,U
2006101030,1.0,9.0,2.0,2,99.0,7.0,2,20.0,U,N,U
2002206638,9.0,1.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2002218852,9.0,7.0,9.0,2,99.0,9.0,2,20.0,U,U,U
2005195500,9.0,99.0,9.0,1,99.0,99.0,2,20.0,U,U,U
2003073163,1.0,5.0,1.0,1,1.0,1.0,2,20.0,U,U,U
2003022881,1.0,7.0,1.0,1,1.0,4.0,2,20.0,U,U,U
2003036757,1.0,99.0,9.0,2,12.0,1.0,1,20.0,U,U,U
2003036935,3.0,12.0,1.0,2,1.0,6.0,1,20.0,U,Y,U
2002215636,9.0,12.0,1.0,2,1.0,8.0,1,20.0,U,U,U
2003041560,1.0,4.0,1.0,2,98.0,98.0,2,20.0,U,U,U
2003047976,1.0,9.0,1.0,2,1.0,98.0,2,20.0,U,U,U
2002237443,9.0,99.0,1.0,1,1.0,7.0,2,20.0,U,U,U
2002224897,9.0,99.0,9.0,3,3.0,1.0,2,20.0,U,U,U
2003016098,1.0,9.0,1.0,1,1.0,1.0,3,20.0,U,Y,U
2002220043,9.0,12.0,1.0,2,1.0,1.0,1,20.0,U,U,U
2002204933,9.0,12.0,1.0,1,1.0,1.0,1,20.0,U,U,U
